Loading graph /home/subhajit/data/min-1DeadEnd.mtx ...
order: 5 size: 6 {}
order: 5 size: 6 {} (transposeWithDegree)
[00001.581 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00000.592 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=8]
[00000.593 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=16]
[00000.594 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=32]
[00000.593 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=64]
[00000.590 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=128]
[00000.609 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=256]
[00000.604 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=512]
[00000.594 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=512; limit=1024]
[00000.550 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=1]
[00000.510 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=2]
[00000.515 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=4]
[00000.591 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=8]
[00000.604 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=16]
[00000.603 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=32]
[00000.591 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=64]
[00000.603 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=128]
[00000.597 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=256]
[00000.595 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=512]
[00000.598 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=1024; limit=1024]

Loading graph /home/subhajit/data/min-2SCC.mtx ...
order: 8 size: 12 {}
order: 8 size: 12 {} (transposeWithDegree)
[00003.700 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00001.437 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=1]
[00001.426 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=2]
[00001.089 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=4]
[00001.318 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=8]
[00001.318 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=16]
[00001.329 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=32]
[00001.328 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=64]
[00001.328 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=128]
[00001.331 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=256]
[00001.323 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=512]
[00001.341 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=2; limit=1024]
[00001.073 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=1]
[00001.135 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=2]
[00001.077 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=4]
[00001.085 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=8]
[00001.350 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=16]
[00001.325 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=32]
[00001.347 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=64]
[00001.321 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=128]
[00001.319 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=256]
[00001.328 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=512]
[00001.322 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=4; limit=1024]
[00001.141 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=1]
[00001.072 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=2]
[00001.072 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=4]
[00001.139 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=8]
[00001.318 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=16]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=32]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=64]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=128]
[00001.340 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=256]
[00001.320 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=512]
